City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Moose Factory,CA,2021-08-03 15:43:47,51.2585,-80.6094,57.2,62,40,10.36
154,Yar-Sale,RU,2021-08-03 15:43:47,66.8333,70.8333,64.44,75,100,12.71
155,Sand Springs,US,2021-08-03 15:43:47,36.1398,-96.1089,81.18,69,1,3.44
156,Saint Anthony,US,2021-08-03 15:43:48,45.0205,-93.218,79.88,56,1,1.01
157,Tasiilaq,GL,2021-08-03 15:43:48,65.6145,-37.6368,50.16,83,100,2.35
158,Narsaq,GL,2021-08-03 15:43:48,60.9167,-46.05,53.82,95,100,2.66
159,Necochea,AR,2021-08-03 15:43:49,-38.5473,-58.7368,62.04,46,35,6.49
160,Klaksvik,FO,2021-08-03 15:43:49,62.2266,-6.589,52.72,96,100,13.15
161,Praia,CV,2021-08-03 15:43:49,14.9215,-23.5087,79.34,89,75,16.11
162,Nanortalik,GL,2021-08-03 15:43:50,60.1432,-45.2371,45.36,92,100,12.15
163,Evanston,US,2021-08-03 15:39:18,42.0411,-87.6901,79.18,52,20,1.99
164,Namibe,AO,2021-08-03 15:43:50,-15.1961,12.1522,77.63,65,0,13.8
165,Naze,JP,2021-08-03 15:43:51,28.3667,129.4833,78.53,84,76,14.54
166,Coquimbo,CL,2021-08-03 15:43:51,-29.9533,-71.3436,55.13,82,90,3.44
167,Mangrol,IN,2021-08-03 15:43:51,21.1167,70.1167,81.99,84,100,19.73
168,Svetlogorsk,BY,2021-08-03 15:43:52,52.6333,29.7333,69.82,46,65,6.58
169,Kyren,RU,2021-08-03 15:43:52,51.6828,102.1408,57.92,70,100,2.15
170,Aksarka,RU,2021-08-03 15:43:52,66.5606,67.7975,60.96,77,23,7.09
171,Cabra,ES,2021-08-03 15:43:53,37.4725,-4.4421,93.65,25,46,3.0
172,Bethel,US,2021-08-03 15:40:16,41.3712,-73.414,74.17,67,1,0.0
173,Bambous Virieux,MU,2021-08-03 15:43:53,-20.3428,57.7575,68.25,68,20,9.22
174,Samarai,PG,2021-08-03 15:43:54,-10.6167,150.6667,78.8,79,100,10.29
175,Moerai,PF,2021-08-03 15:43:54,-22.4333,-151.3333,75.52,87,23,19.66
176,Baykit,RU,2021-08-03 15:43:54,61.67,96.37,65.62,70,85,3.2
177,Grindavik,IS,2021-08-03 15:43:54,63.8424,-22.4338,60.57,94,90,9.22
178,Lebu,CL,2021-08-03 15:43:55,-37.6167,-73.65,55.29,77,4,19.19
179,Tautira,PF,2021-08-03 15:43:55,-17.7333,-149.15,75.22,77,26,10.33
180,Blythe,US,2021-08-03 15:43:55,33.6103,-114.5964,101.03,13,0,5.23
181,Aklavik,CA,2021-08-03 15:43:56,68.2191,-135.0107,48.2,81,75,8.05
182,Aldan,RU,2021-08-03 15:43:56,58.6031,125.3894,58.24,91,98,4.92
183,Santa Lucia,ES,2021-08-03 15:43:56,27.9117,-15.5407,70.92,53,20,28.77
184,Mount Gambier,AU,2021-08-03 15:43:57,-37.8333,140.7667,46.31,100,75,8.05
185,Saint-Paul,RE,2021-08-03 15:43:57,-21.0096,55.2707,68.11,61,1,8.34
186,Zyryanka,RU,2021-08-03 15:43:57,65.75,150.85,41.13,65,55,11.1
187,Rio Gallegos,AR,2021-08-03 15:43:58,-51.6226,-69.2181,42.85,56,0,11.5
188,Halifax,CA,2021-08-03 15:43:08,44.6453,-63.5724,75.09,62,40,3.0
189,Cochrane,CA,2021-08-03 15:39:06,51.1834,-114.4687,74.39,60,1,6.91
190,Longyearbyen,SJ,2021-08-03 15:43:58,78.2186,15.6401,46.24,66,40,20.71
191,Kushima,JP,2021-08-03 15:43:59,31.4583,131.2333,81.12,94,29,5.64
192,Alice Springs,AU,2021-08-03 15:43:59,-23.7,133.8833,40.55,60,0,4.61
193,Coihaique,CL,2021-08-03 15:41:10,-45.5752,-72.0662,43.41,70,0,3.44
194,La Ronge,CA,2021-08-03 15:43:59,55.1001,-105.2842,66.42,88,90,2.3
195,Nara,JP,2021-08-03 15:43:15,34.6851,135.8049,79.92,94,87,2.75
196,Boryslav,UA,2021-08-03 15:44:00,49.2867,23.4324,74.75,73,99,3.2
197,Roald,NO,2021-08-03 15:44:00,62.5833,6.1333,65.16,58,20,8.05
198,Ilulissat,GL,2021-08-03 15:44:01,69.2167,-51.1,46.42,81,40,4.61
199,Yellowknife,CA,2021-08-03 15:44:01,62.456,-114.3525,69.33,68,75,3.0
200,Miles City,US,2021-08-03 15:44:01,46.4083,-105.8406,74.37,33,1,4.61
201,Westford,US,2021-08-03 15:42:54,42.5793,-71.4378,77.02,61,1,1.99
202,Geraldton,AU,2021-08-03 15:44:02,-28.7667,114.6,50.13,81,4,10.36
203,Dire,ML,2021-08-03 15:44:02,12.2833,-10.9667,82.9,78,88,3.98
204,San Cristobal,VE,2021-08-03 15:44:02,7.7669,-72.225,78.98,55,97,7.96
205,Eyl,SO,2021-08-03 15:44:03,7.9803,49.8164,79.32,74,59,26.51
206,Nouakchott,MR,2021-08-03 15:44:03,18.0858,-15.9785,87.73,79,78,16.04
207,Evensk,RU,2021-08-03 15:44:03,61.95,159.2333,44.35,79,100,7.87
208,Hami,CN,2021-08-03 15:44:04,42.8,93.45,86.41,12,86,6.13
209,Sao Joao Da Barra,BR,2021-08-03 15:44:04,-21.6403,-41.0511,77.09,67,1,7.52
210,Hithadhoo,MV,2021-08-03 15:44:04,-0.6,73.0833,82.45,73,90,7.61
211,Kahului,US,2021-08-03 15:44:05,20.8947,-156.47,75.85,83,75,13.8
212,Port Hardy,CA,2021-08-03 15:44:05,50.6996,-127.4199,55.58,88,75,0.0
213,Bredasdorp,ZA,2021-08-03 15:40:31,-34.5322,20.0403,58.32,77,0,5.75
214,Eydhafushi,MV,2021-08-03 15:44:06,5.1033,73.0708,83.01,72,100,6.26
215,Malpe,IN,2021-08-03 15:44:06,13.35,74.7167,78.1,86,82,8.21
216,Portree,GB,2021-08-03 15:44:06,57.4129,-6.1942,60.53,83,94,8.86
217,Airai,TL,2021-08-03 15:44:07,-8.9266,125.4092,57.0,70,50,2.89
218,Araouane,ML,2021-08-03 15:44:07,18.9048,-3.5265,104.52,23,34,9.66
219,Dosso,NE,2021-08-03 15:44:07,13.049,3.1937,95.27,38,81,5.86
220,Teguise,ES,2021-08-03 15:44:08,29.0605,-13.564,77.22,54,20,19.57
221,Chiredzi,ZW,2021-08-03 15:44:08,-21.05,31.6667,66.04,46,0,6.06
