City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Maldonado,UY,-34.6667,-54.9167,57.22,84,59,9.73,broken clouds
167,Faanui,PF,-16.4833,-151.75,79.16,71,99,8.41,overcast clouds
168,Omboue,GA,-1.5746,9.2618,74.28,84,4,5.35,clear sky
169,Lata,PT,40.1629,-8.3327,65.05,98,53,2.86,broken clouds
170,Severo-Kurilsk,RU,50.6789,156.125,55.31,64,0,18.03,clear sky
171,Kaitangata,NZ,-46.2817,169.8464,54.93,68,2,3.31,clear sky
172,Saint-Francois,FR,46.4154,3.9054,63.84,77,75,4.61,broken clouds
173,Poshekhonye,RU,58.4993,39.1353,54.03,90,93,7.85,moderate rain
174,Aden,YE,12.7794,45.0367,83.5,82,100,10.71,overcast clouds
175,Irbeyskoye,RU,55.6428,95.4522,61.0,97,100,2.21,light rain
176,Chapais,CA,49.7834,-74.8492,69.58,95,73,8.32,broken clouds
177,Sobreira,PT,41.5237,-7.8023,59.0,99,59,2.8,broken clouds
178,Oistins,BB,13.0667,-59.5333,80.69,83,75,11.5,broken clouds
179,Grindavik,IS,63.8424,-22.4338,53.91,100,40,5.75,fog
180,Bayji,IQ,34.9311,43.487,95.4,19,16,8.46,few clouds
181,Saray,AZ,40.5322,49.7164,71.08,67,0,5.86,clear sky
182,Clyde River,CA,70.4692,-68.5914,39.43,100,90,11.5,moderate rain
183,Pacific Grove,US,36.6177,-121.9166,83.16,85,75,5.99,broken clouds
184,Waddan,LY,29.1614,16.139,86.77,21,0,5.86,clear sky
185,Victoria,HK,22.2855,114.1577,84.38,90,100,8.01,overcast clouds
186,Codrington,AU,-38.2667,141.9667,53.65,79,100,12.55,overcast clouds
187,Fortuna,US,40.5982,-124.1573,76.19,68,40,1.99,scattered clouds
188,Dikson,RU,73.5069,80.5464,51.37,89,3,5.59,clear sky
189,Byron Bay,AU,-28.65,153.6167,67.87,46,77,2.53,broken clouds
190,Talara,PE,-4.5772,-81.2719,64.92,90,2,16.2,clear sky
191,Darhan,MN,49.4867,105.9228,68.29,71,32,3.44,scattered clouds
192,Lewisporte,CA,49.2499,-55.0482,71.31,61,100,11.81,overcast clouds
193,Asosa,ET,10.0667,34.5333,59.85,80,100,3.44,overcast clouds
194,Saldanha,ZA,-33.0117,17.9442,44.65,86,0,3.8,clear sky
195,Chara,RU,56.9064,118.2631,57.09,94,100,1.74,moderate rain
196,Dano,BF,11.15,-3.0667,74.53,86,100,6.91,moderate rain
197,Sangar,RU,63.9242,127.4739,70.39,29,0,7.31,clear sky
198,Temple,US,31.0982,-97.3428,83.41,73,1,9.22,clear sky
199,Birjand,IR,32.8663,59.2211,68.47,22,0,4.61,clear sky
200,Constitucion,CL,-35.3333,-72.4167,50.49,91,100,3.13,overcast clouds
201,Mecca,SA,21.4267,39.8261,84.97,62,40,6.67,scattered clouds
202,Itoman,JP,26.1247,127.6694,86.4,86,20,6.91,few clouds
203,Dedza,MW,-14.3779,34.3332,52.7,60,0,1.59,clear sky
204,Cervo,ES,43.6702,-7.4101,63.19,85,67,9.42,broken clouds
205,Buchanan,LR,5.8808,-10.0467,76.32,79,100,9.44,overcast clouds
206,Souillac,MU,-20.5167,57.5167,68.38,64,20,6.91,light rain
207,Beringovskiy,RU,63.05,179.3167,49.59,84,100,7.81,overcast clouds
208,Varzea Grande,BR,-15.6467,-56.1325,75.07,38,0,3.44,clear sky
209,Vanavara,RU,60.34,102.2797,66.31,60,100,8.08,overcast clouds
210,La Ronge,CA,55.1001,-105.2842,70.05,60,40,6.91,smoke
211,Alta Floresta,BR,-9.8756,-56.0861,76.73,33,88,3.94,overcast clouds
212,Requena,ES,39.4883,-1.1004,68.7,28,0,4.41,clear sky
213,Thunder Bay,CA,48.4001,-89.3168,69.78,83,90,11.5,overcast clouds
214,Mount Isa,AU,-20.7333,139.5,67.77,26,0,16.11,clear sky
215,Kuytun,RU,54.3419,101.5036,67.01,65,100,3.27,overcast clouds
216,Chaman,PK,30.9236,66.4512,74.88,32,0,4.14,clear sky
217,Yate,GB,51.5407,-2.4184,60.76,94,99,1.99,overcast clouds
218,Thompson,CA,55.7435,-97.8558,64.56,48,75,3.44,smoke
219,Urengoy,RU,65.9667,78.3667,68.02,65,5,5.21,clear sky
220,Gamba,GA,-2.65,10.0,72.66,87,10,5.32,clear sky
221,Bengkulu,ID,-3.8004,102.2655,78.3,80,22,2.66,few clouds
222,Champerico,GT,14.3,-91.9167,82.35,86,100,10.0,overcast clouds
223,Moorhead,US,46.8739,-96.7676,71.56,73,1,6.91,haze
224,Laramie,US,41.3114,-105.5911,80.98,22,1,3.0,clear sky
225,Huarmey,PE,-10.0681,-78.1522,65.01,83,12,9.82,few clouds
226,Ribeira Grande,PT,38.5167,-28.7,73.49,91,17,13.89,few clouds
227,San Jose De Las Lajas,CU,22.9614,-82.1511,72.52,86,83,3.31,broken clouds
228,Arman,RU,59.7,150.1667,59.4,51,100,19.39,overcast clouds
229,Conceicao Da Barra,BR,-18.5933,-39.7322,70.47,68,72,9.13,broken clouds
230,Tecoanapa,MX,16.5167,-98.75,79.11,86,100,6.17,overcast clouds
231,Evanston,US,42.0411,-87.6901,80.98,48,75,3.0,broken clouds
232,Uporovo,RU,56.3109,66.2693,65.26,92,80,7.85,broken clouds
233,Zyryanovsk,KZ,49.7386,84.2719,57.31,79,7,1.48,clear sky
234,Nalut,LY,30.3333,10.85,88.14,13,0,8.7,clear sky
235,Octeville,FR,49.6261,-1.6435,59.92,94,90,17.27,overcast clouds
236,Andenes,NO,69.3143,16.1194,51.78,93,40,4.61,scattered clouds
237,Cayenne,GF,4.9333,-52.3333,81.09,83,75,3.44,light rain
238,Tutin,RS,42.9903,20.3314,59.49,60,97,4.25,overcast clouds
239,Boshnyakovo,RU,49.6333,142.1667,58.66,94,100,4.47,overcast clouds
240,Narsaq,GL,60.9167,-46.05,48.42,93,100,1.07,light rain
241,Sur,OM,22.5667,59.5289,92.21,45,0,10.71,clear sky
242,Muncar,ID,-8.4333,114.3333,78.53,86,98,4.27,overcast clouds
243,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,3.44,broken clouds
244,Oriximina,BR,-1.7656,-55.8661,77.95,73,75,3.8,broken clouds
245,Deputatskiy,RU,69.3,139.9,37.15,92,100,5.28,overcast clouds
246,Perth,AU,-31.9333,115.8333,60.1,60,0,9.22,clear sky
247,Hambantota,LK,6.1241,81.1185,79.14,100,40,12.66,scattered clouds
248,Kirakira,SB,-10.4544,161.9205,83.21,57,7,5.17,clear sky
249,Tiksi,RU,71.6872,128.8694,42.4,84,100,15.57,overcast clouds
250,Yarada,IN,17.65,83.2667,84.52,89,40,4.61,mist
251,Wamba,NG,8.9333,8.6,70.29,95,100,4.27,overcast clouds
252,Hualmay,PE,-11.0964,-77.6139,64.06,82,1,10.71,clear sky
253,Lavrentiya,RU,65.5833,-171.0,52.72,93,100,2.37,overcast clouds
254,Tiznit,MA,29.5833,-9.5,69.69,74,0,1.63,clear sky
255,Peno,RU,56.9262,32.7426,51.28,99,23,1.48,few clouds
256,Katangli,RU,51.7102,143.2326,53.89,96,100,13.13,overcast clouds
257,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,0.0,few clouds
258,Samarai,PG,-10.6167,150.6667,79.2,65,97,13.47,overcast clouds
259,Caravelas,BR,-17.7125,-39.2481,71.02,70,100,10.4,overcast clouds
260,Mehamn,NO,71.0357,27.8492,50.16,88,86,3.69,overcast clouds
261,Padang,ID,-0.9492,100.3543,80.65,74,100,2.33,overcast clouds
262,Bouna,CI,9.2667,-3.0,71.89,93,100,7.38,overcast clouds
263,Kununurra,AU,-15.7667,128.7333,75.18,16,2,16.11,clear sky
264,Homer,US,59.6425,-151.5483,66.07,82,1,13.8,clear sky
265,Leningradskiy,RU,69.3833,178.4167,40.68,90,82,7.0,broken clouds
266,Bouca,CF,6.5105,18.2733,69.06,96,71,3.22,light rain
267,Barsovo,RU,61.1667,73.1667,55.53,76,2,2.08,clear sky
268,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,47,7.18,scattered clouds
