City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Rome,US,79.29,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
634,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
638,Kahului,US,83.46,light rain,20.8947,-156.47,Maui Seaside Hotel
639,Indramayu,ID,82.81,broken clouds,-6.3264,108.32,Grand Trisula Hotel
640,Bang Saphan,TH,85.95,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
648,Tura,IN,80.04,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
652,Tatawin,TN,79.68,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
658,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
660,Yatou,CN,78.6,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
665,Port Arthur,CN,82.62,clear sky,38.8,121.2667,Friendship Hotel
666,Luis Correia,BR,79.36,scattered clouds,-2.8792,-41.6669,Hotel Amarração
667,Point Fortin,TT,81.01,clear sky,10.1833,-61.6833,Jus Les' Suites
668,Miyang,CN,75.96,few clouds,24.4042,103.4428,Huibinlou Hotel
671,Parrita,CR,82.53,overcast clouds,9.5201,-84.3225,Beso del Viento
673,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
674,Ipilan,PH,87.4,overcast clouds,8.8431,117.9033,Brookes Inn
675,Kalmunai,LK,81.36,overcast clouds,7.4167,81.8167,VS Villa
677,Chiang Khong,TH,79.12,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
679,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
